Date : 2026-05-05 02:55:17
Directory : c:\cpp\c
Total : 90 files,  2564 codes, 2 comments, 101 blanks, all 2667 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |         90 |      2,564 |          2 |        101 |      2,667 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------+------------+------------+------------+------------+------------+
| path                       | files      | code       | comment    | blank      | total      |
+----------------------------+------------+------------+------------+------------+------------+
| .                          |         90 |      2,564 |          2 |        101 |      2,667 |
+----------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------+----------+------------+------------+------------+------------+
| filename                   | language | code       | comment    | blank      | total      |
+----------------------------+----------+------------+------------+------------+------------+
| c:\cpp\c\猴子选大王.c           | C        |         36 |          0 |         17 |         53 |
| c:\cpp\c\生成3的乘方表.c         | C        |         15 |          0 |          0 |         15 |
| c:\cpp\c\矩阵运算.c            | C        |         28 |          0 |          3 |         31 |
| c:\cpp\c\简化的插入排序.c         | C        |         47 |          0 |          0 |         47 |
| c:\cpp\c\统计单词数.c           | C        |         39 |          0 |          1 |         40 |
| c:\cpp\c\统计字符.c            | C        |         26 |          0 |          2 |         28 |
| c:\cpp\c\统计学生平均成绩与及格人数.c   | C        |         28 |          0 |          3 |         31 |
| c:\cpp\c\统计素数并求和.c         | C        |         31 |          0 |          1 |         32 |
| c:\cpp\c\菱形.c              | C        |         25 |          0 |          1 |         26 |
| c:\cpp\c\螺线方阵.c            | C        |         34 |          0 |          0 |         34 |
| c:\cpp\c\计算器.c             | C        |         39 |          0 |          2 |         41 |
| c:\cpp\c\计算天数.c            | C        |         41 |          0 |          0 |         41 |
| c:\cpp\c\计算存款利息.c          | C        |         10 |          0 |          2 |         12 |
| c:\cpp\c\身份证排序.c           | C        |         24 |          0 |          1 |         25 |
| c:\cpp\c\输出GPLT.c          | C        |         49 |          0 |          1 |         50 |
| c:\cpp\c\输出闰年.c            | C        |         24 |          0 |          0 |         24 |
| c:\cpp\c\逆序的三位数.c          | C        |         16 |          0 |          0 |         16 |
| c:\cpp\c\阶梯电价.c            | C        |         16 |          0 |          0 |         16 |
| c:\cpp\c\高空坠球.c            | C        |         22 |          0 |          0 |         22 |
| c:\cpp\c\高速公路超速处罚.c        | C        |         18 |          0 |          0 |         18 |
| c:\cpp\c\黑洞数.c             | C        |         53 |          0 |          0 |         53 |
| Total                      |          |      2,564 |          2 |        101 |      2,667 |
+----------------------------+----------+------------+------------+------------+------------+
