Date : 2026-07-26 18:18:38
Directory : c:\cpp\cpp
Total : 594 files,  24530 codes, 398 comments, 6216 blanks, all 31144 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        589 |     24,367 |        391 |      6,183 |     30,941 |
| Java     |          5 |        163 |          7 |         33 |        203 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+
| 算法\数据结构                                                            |         21 |        881 |         51 |        328 |      1,260 |
| 算法\数论                                                              |          8 |        232 |         14 |         70 |        316 |
| 算法\查找与遍历                                                           |         24 |        952 |         30 |        357 |      1,339 |
| 算法\模拟_枚举_贪心                                                        |         19 |        831 |          8 |        167 |      1,006 |
| 算法\递归                                                              |         10 |        300 |          0 |        103 |        403 |
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                           | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\cpp\cpp\1111模板\zzz_模板.cpp                                       | C++      |         80 |          9 |         13 |        102 |
| c:\cpp\cpp\2222debug\test.cpp                                      | C++      |         16 |          0 |          6 |         22 |
| c:\cpp\cpp\2222debug\test2.cpp                                     | C++      |         46 |          1 |          7 |         54 |
| c:\cpp\cpp\2222debug\test3.cpp                                     | C++      |         30 |          2 |          6 |         38 |
| c:\cpp\cpp\2222debug\test4.class                                   | Java     |         19 |          0 |          0 |         19 |
| c:\cpp\cpp\2222debug\test4.java                                    | Java     |         37 |          4 |          8 |         49 |
| c:\cpp\cpp\2222debug\test5.java                                    | Java     |          6 |          2 |          2 |         10 |
| c:\cpp\cpp\3333无题\Capoo.cpp                                        | C++      |         51 |          5 |         22 |         78 |
| c:\cpp\cpp\3333无题\原神.cpp                                           | C++      |         43 |          2 |         28 |         73 |
| c:\cpp\cpp\Codeforces\1109\A.cpp                                   | C++      |         34 |          0 |          6 |         40 |
| c:\cpp\cpp\Codeforces\1109\B.cpp                                   | C++      |         37 |          0 |          8 |         45 |
| c:\cpp\cpp\Codeforces\1109\C.cpp                                   | C++      |         29 |          0 |          9 |         38 |
| c:\cpp\cpp\Codeforces\1109\D.cpp                                   | C++      |         40 |          0 |         12 |         52 |
| c:\cpp\cpp\Codeforces\1109\E.cpp                                   | C++      |         36 |          0 |          9 |         45 |
| c:\cpp\cpp\Codeforces\196\A_Koshary.cpp                            | C++      |         19 |          0 |          4 |         23 |
| c:\cpp\cpp\Codeforces\196\B_Party Monster.cpp                      | C++      |         26 |          0 |          7 |         33 |
| c:\cpp\cpp\Codeforces\196\C_Snowfall.cpp                           | C++      |         36 |          0 |         12 |         48 |
| c:\cpp\cpp\Codeforces\196\D_It All Went Sideways.cpp               | C++      |         40 |          0 |         12 |         52 |
| c:\cpp\cpp\Codeforces\196\E_Palindromex.cpp                        | C++      |         48 |          0 |         18 |         66 |
| c:\cpp\cpp\Codeforces\196\F_It Just Keeps Going Sideways.cpp       | C++      |         42 |          0 |         16 |         58 |
