Date : 2026-07-26 18:18:38
Directory : c:\cpp\cpp
Total : 513 files,  1605 codes, 20 comments, 403 blanks, all 2028 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        509 |      1,605 |         20 |        403 |      2,028 |
| Java     |          4 |          0 |          0 |          0 |          0 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\cpp\cpp\abc\448\448_B_Pepper Addiction.cpp                  | C++      |         32 |          0 |          7 |         39 |
| c:\cpp\cpp\abc\448\448_C_Except and Min.cpp                    | C++      |         46 |          0 |         13 |         59 |
| c:\cpp\cpp\abc\448\448_D_Integer-duplicated Path.cpp           | C++      |         34 |          0 |         10 |         44 |
| c:\cpp\cpp\abc\448_A_chmin.cpp                                 | C++      |        -21 |          0 |         -3 |        -24 |
| c:\cpp\cpp\abc\448_B_Pepper Addiction.cpp                      | C++      |        -32 |          0 |         -7 |        -39 |
| c:\cpp\cpp\abc\448_C_Except and Min.cpp                        | C++      |        -46 |          0 |        -13 |        -59 |
| c:\cpp\cpp\abc\448_D_Integer-duplicated Path.cpp               | C++      |        -34 |          0 |        -10 |        -44 |
| c:\cpp\cpp\abc\449\449_A_π.cpp                                 | C++      |         10 |          0 |          1 |         11 |
| c:\cpp\cpp\abc\449\449_B_Deconstruct Chocolate.cpp             | C++      |         24 |          0 |          3 |         27 |
| c:\cpp\cpp\abc\449\449_C_Comfortable Distance.cpp              | C++      |         26 |          0 |          7 |         33 |
| c:\cpp\cpp\abc\449_A_π.cpp                                     | C++      |        -10 |          0 |         -1 |        -11 |
| c:\cpp\cpp\abc\449_B_Deconstruct Chocolate.cpp                 | C++      |        -24 |          0 |         -3 |        -27 |
| c:\cpp\cpp\abc\449_C_Comfortable Distance.cpp                  | C++      |        -26 |          0 |         -7 |        -33 |
| c:\cpp\cpp\abc\450\450_A_3,2,1,GO.cpp                          | C++      |         19 |          0 |          2 |         21 |
| c:\cpp\cpp\abc\450\450_B_Split Ticketing.cpp                   | C++      |         27 |          0 |          5 |         32 |
| c:\cpp\cpp\abc\450\450_C_Puddles.cpp                           | C++      |         44 |          0 |         10 |         54 |
| c:\cpp\cpp\abc\450\450_D_Minimize Range.cpp                    | C++      |         21 |          0 |          5 |         26 |
| c:\cpp\cpp\abc\450_A_3,2,1,GO.cpp                              | C++      |        -19 |          0 |         -2 |        -21 |
| c:\cpp\cpp\abc\450_B_Split Ticketing.cpp                       | C++      |        -27 |          0 |         -5 |        -32 |
| c:\cpp\cpp\abc\450_C_Puddles.cpp                               | C++      |        -44 |          0 |        -10 |        -54 |
| c:\cpp\cpp\abc\450_D_Minimize Range.cpp                        | C++      |        -21 |          0 |         -5 |        -26 |
| c:\cpp\cpp\abc\451\451_A_illegal.cpp                           | C++      |         11 |          0 |          2 |         13 |
